@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
104,'2016/11/25 15:19:46:902',1,83,0.09685,0.120997,0.129921,0.082415,0.084514,0.031759,0.018898,0.029921,0.29541,0.936035,0.083984,0,0,0,0,0,?,?,?,?
105,'2016/11/25 15:19:46:936',1,83,0.094488,0.117585,0.124934,0.084252,0.084777,0.031496,0.017848,0.030184,0.296875,0.958496,0.083984,0,0,0,0,0,?,?,?,?
106,'2016/11/25 15:19:46:968',1,83,0.093963,0.11601,0.12021,0.088976,0.087926,0.031496,0.01916,0.030446,0.286621,0.94043,0.085449,0,0,0,0,0,?,?,?,?
107,'2016/11/25 15:19:47:002',1,83,0.095013,0.114698,0.118898,0.089501,0.088976,0.032021,0.019423,0.029396,0.290039,0.935547,0.097656,0,0,0,0,0,?,?,?,?
108,'2016/11/25 15:19:47:035',1,83,0.0979,0.108136,0.118898,0.087139,0.087664,0.030971,0.019948,0.029134,0.29834,0.962402,0.081543,0,0,0,0,0,?,?,?,?
109,'2016/11/25 15:19:47:068',1,83,0.093176,0.104987,0.122572,0.085302,0.088189,0.030184,0.020472,0.029134,0.293457,0.942383,0.086426,0,0,0,0,0,?,?,?,?
110,'2016/11/25 15:19:47:102',1,83,0.0979,0.102887,0.126247,0.081627,0.08084,0.030184,0.019948,0.029396,0.296875,0.942871,0.090332,0,0,0,0,0,?,?,?,?
111,'2016/11/25 15:19:47:137',1,83,0.097113,0.091339,0.12231,0.082415,0.080577,0.031759,0.021785,0.029659,0.296875,0.944336,0.091309,0,0,0,0,0,?,?,?,?
112,'2016/11/25 15:19:47:168',1,83,0.092388,0.089501,0.125984,0.081365,0.081627,0.033333,0.022572,0.029134,0.290527,0.952637,0.092285,0,0,0,0,0,?,?,?,?
113,'2016/11/25 15:19:47:203',1,83,0.092388,0.093701,0.132283,0.080315,0.082152,0.032546,0.023622,0.030971,0.293945,0.956055,0.089355,0,0,0,0,0,?,?,?,?
